Poster,Title,Year,Genre,Cast,Rating
"https://m.media-amazon.com/images/M/MV5BNTFiNTMxNTQtM2EzOS00NWNhLWFmNzctNjU5ODIzNDIzMzYzXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UY209_CR0,0,140,209_AL_.jpg",Road House,2023.0,"Action, Thriller","Jake Gyllenhaal, Daniela Melchior, Conor McGregor, Billy Magnussen",6.2
"https://m.media-amazon.com/images/M/MV5BZDM3YTg4MGUtZmUxNi00YmEyLTllNTctNjYyNjZlZGViNmFhXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UX140_CR0,0,140,209_AL_.jpg",Argylle,2023.0,"Action, Comedy, Thriller","Henry Cavill, Bryce Dallas Howard, Sam Rockwell, Bryan Cranston",5.7
"https://m.media-amazon.com/images/M/MV5BODNjZTVlODQtNDkwMy00MDc0LWExNDYtM2VkMWEyODViMzQyXkEyXkFqcGdeQXVyNTA0NzQ3NDg@._V1_UY209_CR13,0,140,209_AL_.jpg",The Roast of Tom Brady,2023.0,"Documentary, Comedy","Kevin Hart, Jeffrey Ross, Drew Bledsoe",7.5
"https://m.media-amazon.com/images/M/MV5BM2JiYTQzM2MtOWU4NS00MGMwLTg2NTYtMTNhMzk5Y2JlY2Q4XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UX140_CR0,0,140,209_AL_.jpg",Miller's Girl,2023.0,"Comedy, Drama","Martin Freeman, Jenna Ortega, Bashir Salahuddin, Gideon Adlon",5.2
"https://m.media-amazon.com/images/M/MV5BMDQ0NjgyN2YtNWViNS00YjA3LTkxNDktYzFkZTExZGMxZDkxXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR1,0,140,209_AL_.jpg",Dune,2023.0,"Action, Adventure, Drama","Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac",8.0
"https://m.media-amazon.com/images/M/MV5BN2M3Y2NhMGYtYjUxOS00M2UwLTlmMGUtYzY4MzFlNjZkYzY2XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_UY209_CR0,0,140,209_AL_.jpg",Barbarian,2023.0,"Horror, Mystery, Thriller","Georgina Campbell, Bill Skarsgård, Justin Long, Matthew Patrick Davis",7.0
"https://m.media-amazon.com/images/M/MV5BNDc2MzNkMjMtZDY5NC00NmQ0LWI1NjctZjRhNWIzZjc4MGRiXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UY209_CR0,0,140,209_AL_.jpg",The Holdovers,2023.0,"Comedy, Drama","Paul Giamatti, Da'Vine Joy Randolph, Dominic Sessa, Carrie Preston",7.9
"https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0,0,140,209_AL_.jpg",Mad Max: Fury Road,2023.0,"Action, Adventure, Sci-Fi","Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz",8.1
"https://m.media-amazon.com/images/M/MV5BZDdlNTIwNjYtNzVhNS00MGVmLTk1ZGYtZmZiMjhiMmQ1ZjkwXkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_UX140_CR0,0,140,209_AL_.jpg",The Garfield Movie,2023.0,"Animation, Adventure, Comedy","Chris Pratt, Samuel L. Jackson, Hannah Waddingham, Ving Rhames",6.1
"https://m.media-amazon.com/images/M/MV5BYmQ2ODgyZjMtMmQyMy00ZWRhLTllOGUtZDI3MDkzNjFhZWQ2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY209_CR0,0,140,209_AL_.jpg",Rebel Moon - Part Two: The Scargiver,2023.0,"Action, Adventure, Drama","Sofia Boutella, Djimon Hounsou, Ed Skrein, Michiel Huisman",5.2
